module,scale,analysis_layer,model,method,N,coverage,total_MAE,item_MAE,item_NAE,sum_item_AE,cancellation_ratio,delta_vs_C03,ci_low,ci_high,p,q
Direct Joint Cross-AI,HAMD-17,HAMD16 core,GLM-5.2,C03_GLM-5.2,99,1.0,3.515151515151515,0.4684343434343434,0.1521464646464646,,0.5286653862411438,0.0,,,,
Direct Joint Cross-AI,HAMD-17,HAMD16 core,mixed,CrossAI_C03,99,1.0,3.4353535353535354,0.454861111111111,0.1494002525252525,,0.5225049013507124,-0.0797979797979797,-0.4475505050505051,0.2728282828282823,,0.6592340765923408
Direct Joint Cross-AI,HAMD-17,HAMD16 core,mixed,CrossAI_Conservative-C,99,1.0,3.372727272727273,0.4626893939393939,0.1517518939393939,,0.5337362201200272,-0.1424242424242421,-0.5292929292929294,0.2334848484848476,,0.4644535546445356
Direct Joint Cross-AI,HAMD-17,HAMD16 core,mixed,CrossAI_Joint-A,99,1.0,3.4818181818181824,0.4990530303030302,0.1646938131313131,,0.5450757477608027,-0.0333333333333327,-0.4687121212121211,0.4152020202020199,,0.8841115888411158
Direct Joint Cross-AI,HAMD-17,HAMD16 core,mixed,CrossAI_Joint-B,99,1.0,3.416161616161616,0.4724747474747475,0.156060606060606,,0.5446475535423841,-0.0989898989898994,-0.4930050505050505,0.3091161616161614,,0.6314368563143685
Direct Joint Cross-AI,HAMD-17,HAMD16 core,GLM-5.2,WithinAI_GLM-5.2_B,99,1.0,3.2979797979797976,0.4755681818181818,0.1566603535353535,,0.5663192522175541,-0.2171717171717175,,,,
Stage2,HAMD-17,HAMD16 core,GLM-5.2,B,99,1.0,3.297979797979798,0.4734217171717171,0.1559659090909091,7.574747474747475,0.5593470657118748,-0.2171717171717172,-0.6111363636363637,0.1959848484848482,0.3162683731626837,0.5271139552711396
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,B,99,1.0,3.9696969696969697,0.492550505050505,0.1619949494949495,7.880808080808081,0.4780574842072168,-0.1313131313131313,-0.4788131313131313,0.2363888888888888,0.465953404659534,0.465953404659534
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,B,99,1.0,3.3282828282828283,0.4889520202020202,0.1570549242424242,7.8232323232323235,0.565779329602859,-0.2575757575757576,-0.5596464646464647,0.0424999999999995,0.097990200979902,0.48995100489951
Stage2,HAMD-17,HAMD16 core,GLM-5.2,C03,99,1.0,3.515151515151515,0.4684343434343434,0.1521464646464646,7.494949494949495,0.5286653862411438,0.0,0.0,0.0,1.0,
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,C03,99,1.0,4.101010101010101,0.4696969696969697,0.1538825757575757,7.515151515151516,0.4304235046659289,0.0,0.0,0.0,1.0,
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,C03,99,1.0,3.585858585858586,0.4627525252525252,0.147885101010101,7.404040404040404,0.4974535928190117,0.0,0.0,0.0,1.0,
Stage2,HAMD-17,HAMD16 core,GLM-5.2,ElasticNet,99,1.0,3.4414141414141413,0.4460227272727273,0.1475063131313131,7.136363636363637,0.5230239938974341,-0.0737373737373736,-0.4484848484848483,0.321262626262626,0.7253274672532747,0.7253274672532747
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,ElasticNet,99,1.0,3.678787878787879,0.488510101010101,0.160748106060606,7.816161616161616,0.5275635950502261,-0.4222222222222223,-0.8728030303030304,0.0232575757575756,0.0722927707229277,0.1807319268073192
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,ElasticNet,99,1.0,3.616161616161616,0.4717171717171717,0.155697601010101,7.547474747474747,0.5209719349113288,0.0303030303030301,-0.3848484848484849,0.4414898989898985,0.8939106089391061,1.0
Stage2,HAMD-17,HAMD16 core,GLM-5.2,Mean,99,1.0,3.191919191919192,0.4457070707070707,0.1464646464646464,7.131313131313132,0.5465285275891337,-0.3232323232323232,-0.7272727272727273,0.1113636363636349,0.1506849315068493,0.3767123287671232
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,Mean,99,1.0,3.717171717171717,0.4696969696969697,0.152935606060606,7.515151515151516,0.4885709128133371,-0.3838383838383838,-0.8285353535353536,0.0808080808080808,0.1141885811418858,0.190314301903143
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,Mean,99,1.0,3.4444444444444446,0.4703282828282828,0.1521464646464646,7.525252525252525,0.5261071139859018,-0.1414141414141414,-0.5151515151515151,0.2222222222222222,0.4952504749525047,1.0
Stage2,HAMD-17,HAMD16 core,GLM-5.2,Median,99,1.0,3.1616161616161618,0.442550505050505,0.145675505050505,7.08080808080808,0.556918576137077,-0.3535353535353535,-0.7777777777777778,0.1212121212121212,0.1284871512848715,0.3767123287671232
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,Median,99,1.0,3.8484848484848486,0.4753787878787879,0.1546717171717171,7.606060606060606,0.4673342700080668,-0.2525252525252525,-0.7373737373737373,0.2525252525252525,0.3481651834816518,0.4352064793520648
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,Median,99,1.0,3.585858585858586,0.4715909090909091,0.1521464646464646,7.545454545454546,0.5148834891259133,0.0,-0.3636363636363636,0.3939393939393939,1.0,1.0
Stage2,HAMD-17,HAMD16 core,GLM-5.2,Ridge,99,1.0,3.403030303030303,0.4450126262626263,0.1469381313131313,7.12020202020202,0.5268888640902901,-0.1121212121212121,-0.5192171717171719,0.2919696969696967,0.6049395060493951,0.7253274672532747
Stage2,HAMD-17,HAMD16 core,Kimi-K2.6,Ridge,99,1.0,3.616161616161616,0.4872474747474747,0.1609532828282828,7.795959595959596,0.5337956628108143,-0.4848484848484849,-0.9515656565656568,-0.0069444444444452,0.0478952104789521,0.1807319268073192
Stage2,HAMD-17,HAMD16 core,Qwen3.7-Max,Ridge,99,1.0,3.607070707070707,0.4745580808080808,0.1561710858585858,7.592929292929293,0.5249501816926059,0.0212121212121212,-0.3880050505050506,0.4566919191919183,0.9208079192080793,1.0
