analysis_layer,method,item_id,item_name,subject_n,item_MAE,item_NAE
HAMD17_available,WithinAI_Kimi,16,体重减轻,99,0.2515151515151515,0.12575757575757576
HAMD17_available,WithinAI_Kimi,17,自知力,99,0.2202020202020202,0.1101010101010101
HAMD17_available,WithinAI_Qwen,1,抑郁情绪,99,0.8535353535353537,0.21338383838383843
HAMD17_available,WithinAI_Qwen,2,有罪感,99,0.5474747474747474,0.13686868686868686
HAMD17_available,WithinAI_Qwen,3,自杀,99,0.7616161616161615,0.19040404040404038
HAMD17_available,WithinAI_Qwen,4,入睡困难,99,0.4383838383838384,0.2191919191919192
HAMD17_available,WithinAI_Qwen,5,睡眠不深,99,0.51010101010101,0.255050505050505
HAMD17_available,WithinAI_Qwen,6,早醒,99,0.398989898989899,0.1994949494949495
HAMD17_available,WithinAI_Qwen,7,工作和活动,99,0.6515151515151517,0.16287878787878793
HAMD17_available,WithinAI_Qwen,8,迟滞,99,0.5454545454545454,0.13636363636363635
HAMD17_available,WithinAI_Qwen,9,激越,99,0.5292929292929294,0.13232323232323234
HAMD17_available,WithinAI_Qwen,10,精神性焦虑,99,0.6181818181818182,0.15454545454545454
HAMD17_available,WithinAI_Qwen,11,躯体性焦虑,99,0.6333333333333333,0.15833333333333333
HAMD17_available,WithinAI_Qwen,12,胃肠道症状,99,0.17676767676767677,0.08838383838383838
HAMD17_available,WithinAI_Qwen,13,全身症状,99,0.34747474747474744,0.17373737373737372
HAMD17_available,WithinAI_Qwen,14,性症状,69,0.3384057971014493,0.16920289855072465
HAMD17_available,WithinAI_Qwen,15,疑病,99,0.4151515151515151,0.10378787878787878
HAMD17_available,WithinAI_Qwen,16,体重减轻,99,0.27878787878787875,0.13939393939393938
HAMD17_available,WithinAI_Qwen,17,自知力,99,0.22626262626262625,0.11313131313131312
HAMD17_strict_complete,C03_GLM,1,抑郁情绪,61,0.7377049180327869,0.18442622950819673
HAMD17_strict_complete,C03_GLM,2,有罪感,61,0.6065573770491803,0.15163934426229508
HAMD17_strict_complete,C03_GLM,3,自杀,61,0.22950819672131148,0.05737704918032787
HAMD17_strict_complete,C03_GLM,4,入睡困难,61,0.3770491803278688,0.1885245901639344
HAMD17_strict_complete,C03_GLM,5,睡眠不深,61,0.39344262295081966,0.19672131147540983
HAMD17_strict_complete,C03_GLM,6,早醒,61,0.29508196721311475,0.14754098360655737
HAMD17_strict_complete,C03_GLM,7,工作和活动,61,0.639344262295082,0.1598360655737705
HAMD17_strict_complete,C03_GLM,8,迟滞,61,0.5737704918032787,0.14344262295081966
HAMD17_strict_complete,C03_GLM,9,激越,61,0.5081967213114754,0.12704918032786885
HAMD17_strict_complete,C03_GLM,10,精神性焦虑,61,0.5573770491803278,0.13934426229508196
HAMD17_strict_complete,C03_GLM,11,躯体性焦虑,61,0.4918032786885246,0.12295081967213115
HAMD17_strict_complete,C03_GLM,12,胃肠道症状,61,0.13114754098360656,0.06557377049180328
HAMD17_strict_complete,C03_GLM,13,全身症状,61,0.29508196721311475,0.14754098360655737
HAMD17_strict_complete,C03_GLM,14,性症状,61,0.36065573770491804,0.18032786885245902
HAMD17_strict_complete,C03_GLM,15,疑病,61,0.4098360655737705,0.10245901639344263
HAMD17_strict_complete,C03_GLM,16,体重减轻,61,0.2459016393442623,0.12295081967213115
HAMD17_strict_complete,C03_GLM,17,自知力,61,0.3114754098360656,0.1557377049180328
HAMD17_strict_complete,C03_Kimi,1,抑郁情绪,63,0.5079365079365079,0.12698412698412698
HAMD17_strict_complete,C03_Kimi,2,有罪感,63,0.5714285714285714,0.14285714285714285
HAMD17_strict_complete,C03_Kimi,3,自杀,63,0.3492063492063492,0.0873015873015873
HAMD17_strict_complete,C03_Kimi,4,入睡困难,63,0.31746031746031744,0.15873015873015872
HAMD17_strict_complete,C03_Kimi,5,睡眠不深,63,0.5714285714285714,0.2857142857142857
HAMD17_strict_complete,C03_Kimi,6,早醒,63,0.4444444444444444,0.2222222222222222
HAMD17_strict_complete,C03_Kimi,7,工作和活动,63,0.5396825396825397,0.1349206349206349
HAMD17_strict_complete,C03_Kimi,8,迟滞,63,0.47619047619047616,0.11904761904761904
HAMD17_strict_complete,C03_Kimi,9,激越,63,0.4126984126984127,0.10317460317460317
HAMD17_strict_complete,C03_Kimi,10,精神性焦虑,63,0.5396825396825397,0.1349206349206349
HAMD17_strict_complete,C03_Kimi,11,躯体性焦虑,63,0.5714285714285714,0.14285714285714285
HAMD17_strict_complete,C03_Kimi,12,胃肠道症状,63,0.15873015873015872,0.07936507936507936
HAMD17_strict_complete,C03_Kimi,13,全身症状,63,0.2698412698412698,0.1349206349206349
HAMD17_strict_complete,C03_Kimi,14,性症状,63,0.38095238095238093,0.19047619047619047
HAMD17_strict_complete,C03_Kimi,15,疑病,63,0.4603174603174603,0.11507936507936507
HAMD17_strict_complete,C03_Kimi,16,体重减轻,63,0.20634920634920634,0.10317460317460317
HAMD17_strict_complete,C03_Kimi,17,自知力,63,0.19047619047619047,0.09523809523809523
HAMD17_strict_complete,C03_Qwen,1,抑郁情绪,57,0.631578947368421,0.15789473684210525
HAMD17_strict_complete,C03_Qwen,2,有罪感,57,0.543859649122807,0.13596491228070176
