analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
hamd99,3.6,0.4843362193362194,,1.0,20,1.0,,,,,-0.30000000000000027,3.0,1.0,,,0.45,0.14375,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,20,3.3,,,,,4.301162633521313
hamd99,3.6,0.49608058608058603,,1.0,20,1.0,,,,,0.0,3.0,,,,0.45,0.14296875,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,20,3.6,,,,,4.69041575982343
hamd99,3.6,0.4956096681096681,,1.0,20,1.0,,,,,0.1499999999999999,3.0,0.0,,,0.459375,0.1515625,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,20,3.75,,,,,4.780167361086848
hamd99,3.6,0.5216372516372517,,1.0,20,1.0,,,,,-0.6499999999999999,3.0,1.0,,,0.434375,0.1375,,,outer_fold,Mean,GLM-5.2,,1.0,HAMD-17,20,2.95,,,,,3.6674241641784495
hamd99,3.6,0.5352777777777777,,1.0,20,1.0,,,,,-0.6000000000000001,3.0,1.0,,,0.4375,0.140625,,,outer_fold,Median,GLM-5.2,,1.0,HAMD-17,20,3.0,,,,,3.7013511046643495
hamd99,3.6,0.5260858585858585,,1.0,20,1.0,,,,,-0.10000000000000009,3.0,1.0,,,0.46875,0.15234375,,,outer_fold,Ridge,GLM-5.2,,1.0,HAMD-17,20,3.5,,,,,4.324349662087931
hamd99,3.6315789473684212,0.6518113465481887,,1.0,19,1.0,,,,,-0.42105263157894735,4.0,1.0,,,0.47039473684210525,0.16200657894736842,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,19,3.210526315789474,,,,,5.326201371768775
hamd99,3.6315789473684212,0.5162095214726794,,1.0,19,1.0,,,,,0.0,4.0,,,,0.45723684210526316,0.14884868421052633,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,19,3.6315789473684212,,,,,4.489754418322021
hamd99,3.6315789473684212,0.49190623617868195,,1.0,19,1.0,,,,,0.26315789473684204,4.0,0.0,,,0.4276315789473684,0.14884868421052633,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,19,3.8947368421052633,,,,,5.380275868489703
hamd99,3.6315789473684212,0.5943400167084377,,1.0,19,1.0,,,,,-0.47368421052631593,4.0,1.0,,,0.4407894736842105,0.15049342105263158,,,outer_fold,Mean,GLM-5.2,,1.0,HAMD-17,19,3.1578947368421053,,,,,4.888224303579498
hamd99,3.6315789473684212,0.5873887270009154,,1.0,19,1.0,,,,,-0.3157894736842106,4.0,1.0,,,0.4309210526315789,0.14638157894736842,,,outer_fold,Median,GLM-5.2,,1.0,HAMD-17,19,3.3157894736842106,,,,,5.424117682312852
hamd99,3.6315789473684212,0.5675932254879624,,1.0,19,1.0,,,,,-0.2105263157894739,4.0,1.0,,,0.4375,0.14884868421052633,,,outer_fold,Ridge,GLM-5.2,,1.0,HAMD-17,19,3.4210526315789473,,,,,5.010515258722872
hamd99,4.0,0.5647768897768898,,1.0,20,1.0,,,,,-0.3999999999999999,0.0,1.0,,,0.5625,0.184375,,,outer_fold,B,GLM-5.2,,2.0,HAMD-17,20,3.6,,,,,4.404543109109048
hamd99,4.0,0.5402669552669552,,1.0,20,1.0,,,,,0.0,0.0,,,,0.5625,0.18671875,,,outer_fold,C03,GLM-5.2,,2.0,HAMD-17,20,4.0,,,,,5.196152422706632
hamd99,4.0,0.5374747474747475,,1.0,20,1.0,,,,,-0.2999999999999998,0.0,1.0,,,0.50625,0.16796875,,,outer_fold,ElasticNet,GLM-5.2,,2.0,HAMD-17,20,3.7,,,,,4.460941604639093
hamd99,4.0,0.5684787434787435,,1.0,20,1.0,,,,,-0.7000000000000002,0.0,1.0,,,0.51875,0.1703125,,,outer_fold,Mean,GLM-5.2,,2.0,HAMD-17,20,3.3,,,,,4.358898943540674
hamd99,4.0,0.5696944721944722,,1.0,20,1.0,,,,,-0.7999999999999998,0.0,1.0,,,0.5125,0.17109375,,,outer_fold,Median,GLM-5.2,,2.0,HAMD-17,20,3.2,,,,,4.147288270665544
hamd99,4.0,0.5324350649350649,,1.0,20,1.0,,,,,-0.3500000000000001,0.0,1.0,,,0.503125,0.16875,,,outer_fold,Ridge,GLM-5.2,,2.0,HAMD-17,20,3.65,,,,,4.4777226354476225
hamd99,3.05,0.574462481962482,,1.0,20,1.0,,,,,-0.44999999999999973,1.0,1.0,,,0.4125,0.13125,,,outer_fold,B,GLM-5.2,,2.0,HAMD-17,20,2.6,,,,,3.361547262794322
hamd99,3.05,0.5802167277167277,,1.0,20,1.0,,,,,0.0,1.0,,,,0.440625,0.134375,,,outer_fold,C03,GLM-5.2,,2.0,HAMD-17,20,3.05,,,,,3.943348830626071
hamd99,3.05,0.5507611832611833,,1.0,20,1.0,,,,,0.0,1.0,0.0,,,0.409375,0.12578125,,,outer_fold,ElasticNet,GLM-5.2,,2.0,HAMD-17,20,3.05,,,,,3.7080992435478315
hamd99,3.05,0.6195557220557222,,1.0,20,1.0,,,,,-0.34999999999999964,1.0,1.0,,,0.45,0.1390625,,,outer_fold,Mean,GLM-5.2,,2.0,HAMD-17,20,2.7,,,,,3.687817782917155
hamd99,3.05,0.6439862914862915,,1.0,20,1.0,,,,,-0.5,1.0,1.0,,,0.428125,0.13359375,,,outer_fold,Median,GLM-5.2,,2.0,HAMD-17,20,2.55,,,,,3.4856850115866753
hamd99,3.05,0.4970238095238096,,1.0,20,1.0,,,,,0.15000000000000036,1.0,0.0,,,0.40625,0.1265625,,,outer_fold,Ridge,GLM-5.2,,2.0,HAMD-17,20,3.2,,,,,3.794733192202055
hamd99,4.8,0.4904761904761904,,1.0,20,1.0,,,,,-0.8499999999999996,2.0,1.0,,,0.453125,0.153125,,,outer_fold,B,GLM-5.2,,2.0,HAMD-17,20,3.95,,,,,5.113707070218238
hamd99,4.8,0.3649877899877899,,1.0,20,1.0,,,,,0.0,2.0,,,,0.45,0.14765625,,,outer_fold,C03,GLM-5.2,,2.0,HAMD-17,20,4.8,,,,,5.822370651203855
hamd99,4.8,0.4188034188034188,,1.0,20,1.0,,,,,-0.34999999999999964,2.0,1.0,,,0.453125,0.14921875,,,outer_fold,ElasticNet,GLM-5.2,,2.0,HAMD-17,20,4.45,,,,,5.518151864528558
hamd99,4.8,0.4055952380952381,,1.0,20,1.0,,,,,-0.6499999999999995,2.0,1.0,,,0.403125,0.140625,,,outer_fold,Mean,GLM-5.2,,2.0,HAMD-17,20,4.15,,,,,5.267826876426369
hamd99,4.8,0.4264357864357865,,1.0,20,1.0,,,,,-0.75,2.0,1.0,,,0.403125,0.1390625,,,outer_fold,Median,GLM-5.2,,2.0,HAMD-17,20,4.05,,,,,5.267826876426369
