scale,model,analysis_subset,item_id,item_name,method,N,item_MAE,item_NAE,delta_item_MAE_vs_C03,delta_item_MAE_CI_low,delta_item_MAE_CI_high,delta_item_MAE_p,mean_signed_error,exact_agreement,delta_item_MAE_q
PHQ-8,GLM-5.2,primary142,3,睡眠问题,C03,1420,0.5633802816901409,0.18779342723004697,0.0,0.0,0.0,1.0,0.056338028169014086,0.5563380281690141,
PHQ-8,GLM-5.2,primary142,3,睡眠问题,ElasticNet,1420,0.5845070422535211,0.19483568075117372,0.021126760563380285,-0.0655105633802817,0.10565140845070413,0.635036496350365,-0.1,0.4950704225352113,0.8051766251946234
PHQ-8,GLM-5.2,primary142,3,睡眠问题,Mean,1420,0.5915492957746479,0.19718309859154928,0.028169014084507043,-0.035211267605633804,0.09154929577464789,0.5046495350464953,0.14084507042253522,0.528169014084507,0.8074392560743926
PHQ-8,GLM-5.2,primary142,3,睡眠问题,Median,1420,0.5915492957746479,0.19718309859154928,0.028169014084507043,-0.028169014084507043,0.09154929577464789,0.5043495650434956,0.14084507042253522,0.528169014084507,0.6724660867246608
PHQ-8,GLM-5.2,primary142,3,睡眠问题,Ridge,1420,0.5880281690140845,0.1960093896713615,0.02464788732394366,-0.05704225352112676,0.11128521126760554,0.5811418858114189,-0.09788732394366197,0.4915492957746479,0.9298270172982702
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,B,1420,0.7809859154929577,0.2603286384976526,0.06971830985915495,0.02676056338028169,0.1176056338028169,0.0027997200279972004,-0.3330985915492958,0.3732394366197183,0.007465920074659201
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,C03,1420,0.7112676056338029,0.23708920187793428,0.0,0.0,0.0,1.0,-0.44366197183098594,0.4225352112676056,
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,ElasticNet,1420,0.6661971830985915,0.2220657276995305,-0.04507042253521128,-0.16832746478873245,0.08028169014084506,0.49965003499650035,0.09295774647887324,0.3816901408450704,0.8051766251946234
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,Mean,1420,0.7464788732394366,0.24882629107981222,0.035211267605633804,-0.035211267605633804,0.11267605633802817,0.4654534546545345,-0.30985915492957744,0.4084507042253521,0.8074392560743926
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,Median,1420,0.7535211267605634,0.2511737089201878,0.04225352112676056,-0.02130281690140844,0.11267605633802817,0.32966703329667035,-0.33098591549295775,0.4014084507042254,0.5274672532746726
PHQ-8,GLM-5.2,primary142,4,疲劳或精力不足,Ridge,1420,0.6640845070422535,0.22136150234741783,-0.04718309859154929,-0.18239436619718308,0.0859330985915492,0.48475152484751527,0.1176056338028169,0.3816901408450704,0.9298270172982702
PHQ-8,GLM-5.2,primary142,5,食欲问题,B,1420,0.8950704225352113,0.2983568075117371,0.014788732394366202,-0.028169014084507043,0.06338028169014084,0.541045895410459,-0.7669014084507042,0.43802816901408453,0.541045895410459
