analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
primary142,4.5,0.13401360544217686,,1.0,28,1.0,,,,,0.0,3.0,,,,0.6160714285714286,0.20535714285714282,,,outer_fold,C03,DeepSeek-V4-Pro,,1.0,PHQ-8,28,4.5,,,,,6.106202935189288
primary142,4.5,0.25000000000000006,,1.0,28,1.0,,,,,-0.6428571428571428,3.0,1.0,,,0.625,0.20833333333333331,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.857142857142857,,,,,4.59813626840888
primary142,4.5,0.2366780045351474,,1.0,28,1.0,,,,,-0.8214285714285716,3.0,1.0,,,0.6383928571428571,0.21279761904761904,,,outer_fold,Mean,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.6785714285714284,,,,,5.032040199703156
primary142,4.5,0.2535147392290249,,1.0,28,1.0,,,,,-0.7857142857142856,3.0,1.0,,,0.6517857142857143,0.2172619047619048,,,outer_fold,Median,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.7142857142857144,,,,,5.106018857331862
primary142,4.5,0.2535714285714286,,1.0,28,1.0,,,,,-0.7142857142857144,3.0,1.0,,,0.6160714285714286,0.20535714285714282,,,outer_fold,Ridge,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.7857142857142856,,,,,4.527692569068709
primary142,4.428571428571429,0.11284271284271284,,1.0,28,1.0,,,,,-0.5000000000000004,4.0,1.0,,,0.5892857142857143,0.19642857142857142,,,outer_fold,B,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.9285714285714284,,,,,5.092010548749033
primary142,4.428571428571429,0.09404761904761905,,1.0,28,1.0,,,,,0.0,4.0,,,,0.625,0.20833333333333331,,,outer_fold,C03,DeepSeek-V4-Pro,,1.0,PHQ-8,28,4.428571428571429,,,,,5.946187253790689
primary142,4.428571428571429,0.273469387755102,,1.0,28,1.0,,,,,-1.1785714285714288,4.0,1.0,,,0.5491071428571429,0.18303571428571425,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.25,,,,,4.362993729735844
primary142,4.428571428571429,0.14909297052154194,,1.0,28,1.0,,,,,-1.0714285714285716,4.0,1.0,,,0.5267857142857143,0.17559523809523808,,,outer_fold,Mean,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.357142857142857,,,,,4.2594432902501635
primary142,4.428571428571429,0.1433982683982684,,1.0,28,1.0,,,,,-0.8571428571428572,4.0,1.0,,,0.5625,0.1875,,,outer_fold,Median,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.5714285714285716,,,,,4.566962103755937
primary142,4.428571428571429,0.27465986394557823,,1.0,28,1.0,,,,,-1.1785714285714288,4.0,1.0,,,0.5580357142857143,0.18601190476190474,,,outer_fold,Ridge,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.25,,,,,4.4118347333377885
primary142,4.206896551724138,0.33276608449022244,,1.0,29,1.0,,,,,-0.8620689655172415,0.0,1.0,,,0.6508620689655172,0.21695402298850572,,,outer_fold,B,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.3448275862068964,,,,,4.788635973088644
primary142,4.206896551724138,0.1922824302134647,,1.0,29,1.0,,,,,0.0,0.0,,,,0.6551724137931034,0.21839080459770113,,,outer_fold,C03,DeepSeek-V4-Pro,,2.0,PHQ-8,29,4.206896551724138,,,,,5.801307819258784
primary142,4.206896551724138,0.2655172413793103,,1.0,29,1.0,,,,,-0.6551724137931032,0.0,1.0,,,0.5905172413793104,0.1968390804597701,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.5517241379310347,,,,,4.1812388858673994
primary142,4.206896551724138,0.3177613574165298,,1.0,29,1.0,,,,,-1.0689655172413794,0.0,1.0,,,0.6077586206896551,0.2025862068965517,,,outer_fold,Mean,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.1379310344827585,,,,,4.295145615933057
primary142,4.206896551724138,0.3469622331691297,,1.0,29,1.0,,,,,-1.0344827586206895,0.0,1.0,,,0.6551724137931034,0.21839080459770113,,,outer_fold,Median,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.1724137931034484,,,,,4.4334154343793575
primary142,4.206896551724138,0.27553366174055827,,1.0,29,1.0,,,,,-0.7241379310344827,0.0,1.0,,,0.5991379310344828,0.1997126436781609,,,outer_fold,Ridge,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.4827586206896552,,,,,4.097938926860167
primary142,4.413793103448276,0.13779419813902571,,1.0,29,1.0,,,,,-0.1379310344827589,1.0,1.0,,,0.6293103448275862,0.20977011494252873,,,outer_fold,B,DeepSeek-V4-Pro,,2.0,PHQ-8,29,4.275862068965517,,,,,5.105777660380579
primary142,4.413793103448276,0.1285465492362044,,1.0,29,1.0,,,,,0.0,1.0,,,,0.6379310344827587,0.21264367816091953,,,outer_fold,C03,DeepSeek-V4-Pro,,2.0,PHQ-8,29,4.413793103448276,,,,,5.432977211374105
primary142,4.413793103448276,0.35361247947454844,,1.0,29,1.0,,,,,-1.2758620689655173,1.0,1.0,,,0.5991379310344828,0.1997126436781609,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.1379310344827585,,,,,3.8996021017180893
primary142,4.413793103448276,0.2395457033388068,,1.0,29,1.0,,,,,-0.9310344827586206,1.0,1.0,,,0.5991379310344828,0.1997126436781609,,,outer_fold,Mean,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.4827586206896552,,,,,4.072616713680741
primary142,4.413793103448276,0.21119570085087327,,1.0,29,1.0,,,,,-0.5862068965517242,1.0,1.0,,,0.6163793103448276,0.20545977011494249,,,outer_fold,Median,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.8275862068965516,,,,,4.5599455532139705
primary142,4.413793103448276,0.39614121510673234,,1.0,29,1.0,,,,,-1.2413793103448274,1.0,1.0,,,0.6206896551724138,0.20689655172413793,,,outer_fold,Ridge,DeepSeek-V4-Pro,,2.0,PHQ-8,29,3.1724137931034484,,,,,3.9040209157155945
primary142,4.357142857142857,0.25826118326118325,,1.0,28,1.0,,,,,-0.5357142857142851,2.0,1.0,,,0.7008928571428571,0.23363095238095238,,,outer_fold,B,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.8214285714285716,,,,,5.473964350841693
