scale,model,cohort,thinking_mode,validation_layer,strategy,analysis_layer,fixed_scale,subject_universe_n,strategy_strict_complete_repeat_n,c03_strict_complete_repeat_n,strict_joint_repeat_n,strict_joint_subject_n,gold_full_evaluable_n,fixed_scale_gold_evaluable_n,strategy_any_evaluable_n,strict_complete_n,strategy_mae,c03_mae,strategy_rmse,c03_rmse,strategy_signed_bias,c03_signed_bias,strategy_over_rate,c03_over_rate,strategy_under_rate,c03_under_rate,strategy_pearson,c03_pearson,strategy_spearman,c03_spearman,strategy_icc_a1,c03_icc_a1,strategy_weighted_kappa,c03_weighted_kappa,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_mae_p,result_layer,source_scale,gold_hamd17_evaluable_n,coverage_threshold,eligible_subject_n,common_support_80_n,common_support_90_n,mean_common_item_coverage,mean_common_score_range_coverage,normalized_partial_ae_strategy,normalized_partial_ae_c03,delta_normalized_partial_ae,delta_normalized_partial_ae_ci_low,delta_normalized_partial_ae_ci_high,delta_normalized_partial_ae_p,partial_ae_strategy,partial_ae_c03,delta_partial_ae,delta_partial_ae_ci_low,delta_partial_ae_ci_high,delta_partial_ae_p,strict_strategy_n,strict_c03_n,normalized_partial_ae_fdr_q,partial_ae_fdr_q,coverage_noninferiority_ci_low,coverage_noninferiority_ci_high,coverage_noninferiority_p,coverage_noninferiority_fdr_q,coverage_noninferiority_pass
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,C,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.1702127659574466,3.1702127659574466,4.52651761314674,4.52651761314674,-1.9787234042553192,-1.9787234042553192,0.19148936170212766,0.19148936170212766,0.574468085106383,0.574468085106383,0.7721272788911006,0.7721272788911006,0.8296971765814415,0.8296971765814415,0.7034741281210255,0.7034741281210255,0.7226165766750625,0.7226165766750625,0.0,0.0,0.0,1.0,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,A,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.6035211267605627,4.28169014084507,4.874184655543738,5.731061893099324,-2.582394366197183,-3.9014084507042255,0.2112676056338028,0.09154929577464789,0.704225352112676,0.7746478873239436,0.6934999814022069,0.6911134793575361,0.7025117355692808,0.722719888870228,0.5827196825696673,0.44412643295357923,0.5837826112260392,0.4420327910087306,-0.6725352112676056,-0.9760739436619718,-0.38727112676056363,9.999000099990002e-05,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,B,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.8330985915492963,4.28169014084507,5.1876953552219645,5.731061893099324,-3.1415492957746483,-3.9014084507042255,0.1619718309859155,0.09154929577464789,0.7394366197183099,0.7746478873239436,0.6955502743485978,0.6911134793575361,0.715354917533658,0.722719888870228,0.5256608851808108,0.44412643295357923,0.5237254005707437,0.4420327910087306,-0.4429577464788732,-0.6479049295774648,-0.2393838028169017,9.999000099990002e-05,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,C,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,4.095774647887324,4.28169014084507,5.49732329231979,5.731061893099324,-3.5999999999999996,-3.9014084507042255,0.13380281690140844,0.09154929577464789,0.7676056338028169,0.7746478873239436,0.6966564111442918,0.6911134793575361,0.7249014309434098,0.722719888870228,0.4756593927849342,0.44412643295357923,0.47422982139857395,0.4420327910087306,-0.18309859154929573,-0.2711267605633803,-0.0936619718309859,9.999000099990002e-05,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,A,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.4893617021276597,4.0,4.84219046616697,5.592548233558728,-2.382978723404255,-3.3191489361702127,0.23404255319148937,0.1276595744680851,0.6382978723404256,0.723404255319149,0.7537762923273396,0.7193661349899722,0.8114246209340242,0.7993107948229439,0.6580087164195216,0.5409368635437881,0.6899599637961823,0.57684542997623,-0.5106382978723404,-1.0,-0.0851063829787234,0.041195880411958805,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,B,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.425531914893617,4.0,4.9228084010239,5.592548233558728,-2.7872340425531914,-3.3191489361702127,0.14893617021276595,0.1276595744680851,0.6595744680851063,0.723404255319149,0.7860616920467169,0.7193661349899722,0.8287207690552442,0.7993107948229439,0.6372561237347512,0.5409368635437881,0.6540309745347699,0.57684542997623,-0.574468085106383,-0.9361702127659575,-0.2765957446808511,0.000999900009999,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,Qwen3.7-Max,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,C,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.9148936170212765,4.0,5.527494141956344,5.592548233558728,-3.276595744680851,-3.3191489361702127,0.1276595744680851,0.1276595744680851,0.7021276595744681,0.723404255319149,0.7279328459747556,0.7193661349899722,0.7956336546033386,0.7993107948229439,0.5502355856959991,0.5409368635437881,0.5847229254111614,0.57684542997623,-0.0851063829787234,-0.19148936170212766,0.0,0.22257774222577742,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-16_fixed,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,A,HAMD16_fixed,HAMD-16,99,990.0,990.0,990.0,99.0,,99.0,99,99,3.301010101010101,3.515151515151515,4.416543737568845,4.554939598663713,0.4747474747474746,-1.0909090909090908,0.5252525252525253,0.35353535353535354,0.4444444444444444,0.5050505050505051,0.8166484395115388,0.8122084812044035,0.7910641337796886,0.8017385580990094,0.8163104813825295,0.8043064024390243,0.8163186263434787,0.8052530514138634,-0.1090909090909091,-0.5485101010101011,0.362651515151515,0.6484351564843516,HAMD16_fixed,HAMD-17,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-16_fixed,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,B,HAMD16_fixed,HAMD-16,99,990.0,990.0,990.0,99.0,,99.0,99,99,3.192929292929293,3.515151515151515,4.35714900763647,4.554939598663713,0.07373737373737364,-1.0909090909090908,0.5353535353535354,0.35353535353535354,0.46464646464646464,0.5050505050505051,0.8232424379261719,0.8122084812044035,0.8011417650636831,0.8017385580990094,0.8246647302334039,0.8043064024390243,0.8215153292008711,0.8052530514138634,-0.2171717171717172,-0.6141919191919193,0.1858838383838383,0.31656834316568344,HAMD16_fixed,HAMD-17,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-16_fixed,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,C,HAMD16_fixed,HAMD-16,99,990.0,990.0,990.0,99.0,,99.0,99,99,3.303030303030303,3.515151515151515,4.3424845097215625,4.554939598663713,-0.39393939393939387,-1.0909090909090908,0.45454545454545453,0.35353535353535354,0.5454545454545454,0.5050505050505051,0.8244367416822871,0.8122084812044035,0.8089543915671915,0.8017385580990094,0.8247055089250659,0.8043064024390243,0.8241351101415597,0.8052530514138634,-0.14141414141414144,-0.40808080808080804,0.12426767676767658,0.2930706929307069,HAMD16_fixed,HAMD-17,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
