量表,队列,模型,思考模式,条件编号,刺激条件,输入范围,规整状态,清洗状态,条目编号,条目名称,相关方法,总记录数n_total,符合主分析资格n_eligible,实际使用n_used,未使用n_missing或无效,AI预测9排除n_sentinel9,AI预测不同取值数,总分一致样本数（仅敏感性使用）,普通相关系数,普通95%CI下限,普通95%CI上限,普通解析P值（复现参照）,普通置换P值,校正相关系数,校正95%CI下限,校正95%CI上限,校正解析P值（复现参照）,校正置换P值,校正减普通相关变化,相关变化95%CI下限,相关变化95%CI上限,相对相关保留比例,可估计性代码,可估计性,校正总分规则,普通FDR校正q值,校正FDR校正q值,普通FDR结论,校正FDR结论,校正关联类型
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,9,激越,Spearman秩相关,24,24,24,0,0,3,1,0.5647163833638759,0.17957124272219432,0.8420934562287156,0.004040568176074204,0.004399560043995601,0.5560592117443062,0.15840498958072105,0.8307474803245861,0.0047800082924006814,0.004999500049995001,-0.008657171619569692,-0.08406850487753381,0.0678427651438203,0.9846698769955973,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.010316209758334511,0.01767823217678232,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,10,精神性焦虑,Spearman秩相关,24,24,24,0,0,4,1,0.6865871456809031,0.3635389373380774,0.878435628280076,0.0002113526191854494,0.0007999200079992001,0.6313427136053765,0.27339712471307503,0.8522924612372658,0.0009380120955923521,0.0015998400159984002,-0.05524443207552654,-0.161922910609862,0.011634866097193235,0.9195376254521348,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.00362630403626304,0.011451486430304338,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,11,躯体性焦虑,Spearman秩相关,24,24,24,0,0,4,1,0.7574523267066118,0.464081181612879,0.9053055980774465,1.8210561972186485e-05,9.999000099990002e-05,0.6580482871544395,0.2983258281613522,0.8693552567492537,0.0004736360943084328,0.0008999100089991,-0.09940403955217225,-0.27711223944164337,0.010407141064527127,0.8687652858835629,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0011332200113322,0.00815918408159184,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,12,胃肠道症状,Spearman秩相关,24,24,24,0,0,3,1,0.2684423411442234,-0.10869400864274112,0.6017944713628015,0.2046826092830653,0.20567943205679431,0.17627507503849935,-0.2788367770763723,0.5628322747043873,0.40996861908902127,0.41145885411458855,-0.09216726610572404,-0.24617435422303366,-0.0008347496327288284,0.6566589841495748,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.24137586241375864,0.46246615007920694,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,13,全身症状,Spearman秩相关,24,24,24,0,0,3,1,0.6191913468247807,0.31761297068450106,0.8240437166350665,0.0012544107483423933,0.0023997600239976003,0.4811157147743242,0.0801570164087097,0.7465980191935498,0.017307675190695322,0.015598440155984402,-0.13807563205045653,-0.33810654867436396,-0.01958855704622989,0.7770065218796908,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.006660558433952524,0.03657565277954963,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,14,性症状,Spearman秩相关,24,13,13,11,11,3,1,0.7707531162649645,0.416949171113693,0.9203653948983829,0.0020432030355418997,0.0029997000299970002,0.6964045388766186,0.23603091178774507,0.8829319176803139,0.00818172490047637,0.0103989601039896,-0.07434857738834588,-0.2942055589312759,0.0,0.9035377531152442,not_estimable,不可估计,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0075548000755480006,0.027197280271972803,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,15,疑病,Spearman秩相关,24,24,24,0,0,3,1,0.08090836116611765,-0.3692537344670087,0.49875148381195916,0.7070463208565207,0.7073292670732927,-0.02015157437291609,-0.4994645689644277,0.3916475119432661,0.9255372122484803,0.9294070592940706,-0.10105993553903374,-0.24090153349585988,0.009688095871307886,-0.24906664876750778,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.7178864203131926,0.9362915560295824,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,16,体重减轻,Spearman秩相关,24,24,24,0,0,3,1,0.40665877508452936,-0.04440114848265235,0.7299703050523254,0.04860539730595274,0.047795220477952205,0.36831763555399727,-0.10778355328629374,0.7157392345952077,0.07657469037600717,0.08389161083891611,-0.03834113953053209,-0.1345886524279148,0.0006621468965633588,0.9057166797333652,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.07237498472374984,0.13582451278681656,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,17,自知力,Spearman秩相关,24,24,24,0,0,3,1,0.22682658482900483,-0.257230538677797,0.6161342518105551,0.2864829480158689,0.29217078292170784,0.19951549742052974,-0.33686080256161477,0.6103693753108519,0.3499487985741812,0.35266473352664734,-0.0273110874084751,-0.11315977161321125,0.031108379560415532,0.8795948568856521,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.32493010861515476,0.4166341986491007,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,C07：全文｜规整｜逐条评分｜不清洗,全文,规整,不清洗,1,抑郁情绪,Spearman秩相关,24,24,24,0,0,5,3,0.7832166864311417,0.5339964589529257,0.9232480552932801,6.034678316127171e-06,9.999000099990002e-05,0.6945900996381279,0.353776533400878,0.8908872425896099,0.0001658650261472544,0.00019998000199980003,-0.08862658679301383,-0.2113496274547235,-0.00408736442474221,0.886842826093433,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0011332200113322,0.006799320067993201,FDR显著,FDR显著,not_estimable
