repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
7,4,19,3.263157894736842,3.6315789473684212,-0.3684210526315789,0.009046052631578948,0.0999383657278394,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,0,20,4.4,4.6,-0.2,0.01484375,0.11362165612165613,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,1,20,5.4,4.9,0.5,0.0140625,-0.05292318792318793,HAMD-17,HAMD16_core,Kimi-K2.6,False
8,2,20,3.2,3.35,-0.15,0.0,0.009339826839826832,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,3,20,3.7,3.75,-0.05,0.0078125,0.06301587301587301,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,4,19,3.8421052631578947,3.8947368421052633,-0.05263157894736842,0.0,-0.003691045796308964,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,0,20,4.05,4.4,-0.35,0.01328125,0.06402319902319902,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,1,20,3.45,3.7,-0.25,-0.00546875,0.029184426684426674,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,2,20,3.75,4.35,-0.6,0.02265625,0.11460927960927961,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,3,20,3.9,4.45,-0.55,-0.003125,0.12827380952380954,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,4,19,4.052631578947368,3.5789473684210527,0.47368421052631576,0.023848684210526317,0.07554609133556503,HAMD-17,HAMD16_core,Kimi-K2.6,False
0,0,20,3.6,3.9,-0.3,0.00390625,0.03604256854256856,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,1,20,3.65,3.95,-0.3,0.00234375,0.04199938949938951,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,2,20,3.05,3.35,-0.3,0.0046875,0.09222027972027971,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,3,20,2.9,2.9,0.0,0.02421875,0.0415007215007215,HAMD-17,HAMD16_core,Qwen3.7-Max,False
0,4,19,3.526315789473684,3.8421052631578947,-0.3157894736842105,0.004934210526315789,0.09420520999468368,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,0,20,3.5,4.15,-0.65,0.00703125,0.12783105783105783,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,1,20,4.05,4.05,0.0,0.01328125,0.09409090909090909,HAMD-17,HAMD16_core,Qwen3.7-Max,False
1,2,20,2.75,2.95,-0.2,0.00390625,0.0583832833832834,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,3,20,3.85,3.7,0.15,0.01328125,-0.035280830280830275,HAMD-17,HAMD16_core,Qwen3.7-Max,False
1,4,19,3.0,3.0526315789473686,-0.05263157894736842,0.008223684210526315,0.05238796291427872,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,0,20,2.6,3.3,-0.7,0.00625,0.1287012987012987,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,1,20,2.95,3.15,-0.2,0.009375,0.04861832611832612,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,2,20,3.2,3.95,-0.75,0.01328125,0.12775974025974027,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,3,20,3.85,3.45,0.4,0.015625,-0.03473110223110222,HAMD-17,HAMD16_core,Qwen3.7-Max,False
2,4,19,3.3684210526315788,4.105263157894737,-0.7368421052631579,0.019736842105263157,0.1846130477709425,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,0,20,3.2,3.85,-0.65,0.00234375,0.09565351315351316,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,1,20,4.6,4.75,-0.15,0.00703125,0.06299613784907904,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,2,20,2.95,3.4,-0.45,0.003125,0.04536324786324786,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,3,20,3.2,2.6,0.6,0.01015625,-0.03968892218892217,HAMD-17,HAMD16_core,Qwen3.7-Max,False
