repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
4,3,20,3.8,3.3,0.5,0.01640625,0.018943833943833956,HAMD-17,HAMD16_core,Qwen3.7-Max,False
4,4,19,2.210526315789474,2.736842105263158,-0.5263157894736842,0.0024671052631578946,0.09703863388073915,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,0,20,3.45,3.95,-0.5,0.01640625,0.10359823183352597,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,1,20,3.25,3.75,-0.5,0.0359375,0.20635697635697636,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,2,20,3.65,3.15,0.5,0.00703125,-0.03796897546897547,HAMD-17,HAMD16_core,Qwen3.7-Max,False
5,3,20,3.55,3.7,-0.15,0.021875,0.016595812168567595,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,4,19,3.0,3.3684210526315788,-0.3684210526315789,0.008223684210526315,0.031211770685454904,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,0,20,4.75,4.9,-0.15,0.00859375,0.0019209548621313439,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,1,20,2.8,3.45,-0.65,0.028125,0.1501948051948052,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,2,20,3.35,3.55,-0.2,0.00703125,0.07961399711399712,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,3,20,3.2,3.05,0.15,0.02421875,0.06794566544566545,HAMD-17,HAMD16_core,Qwen3.7-Max,False
6,4,19,2.9473684210526314,2.9473684210526314,0.0,0.024671052631578948,-0.014204216835795775,HAMD-17,HAMD16_core,Qwen3.7-Max,False
7,0,20,4.05,3.8,0.25,0.02265625,0.039669595110771574,HAMD-17,HAMD16_core,Qwen3.7-Max,False
7,1,20,3.35,3.45,-0.1,0.01875,0.04301760331172096,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,2,20,3.15,4.4,-1.25,0.02109375,0.14575924075924077,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,3,20,2.9,2.5,0.4,0.01953125,-0.0031776556776556665,HAMD-17,HAMD16_core,Qwen3.7-Max,False
7,4,19,3.6842105263157894,3.789473684210526,-0.10526315789473684,0.015625,0.044080773028141465,HAMD-17,HAMD16_core,Qwen3.7-Max,True
8,0,20,3.45,4.0,-0.55,0.01328125,0.1312698412698413,HAMD-17,HAMD16_core,Qwen3.7-Max,True
8,1,20,4.8,4.3,0.5,0.034375,0.052786200727377205,HAMD-17,HAMD16_core,Qwen3.7-Max,False
8,2,20,3.4,3.05,0.35,0.025,0.036383477633477636,HAMD-17,HAMD16_core,Qwen3.7-Max,False
8,3,20,3.5,2.95,0.55,0.0234375,0.004841269841269846,HAMD-17,HAMD16_core,Qwen3.7-Max,False
8,4,19,3.1578947368421053,3.6315789473684212,-0.47368421052631576,0.0,-0.012408059776480837,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,0,20,3.85,3.5,0.35,0.0359375,0.09920690420690423,HAMD-17,HAMD16_core,Qwen3.7-Max,False
9,1,20,3.6,3.9,-0.3,0.01640625,0.058606856679612095,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,2,20,3.35,3.15,0.2,0.0046875,-0.04382922632922634,HAMD-17,HAMD16_core,Qwen3.7-Max,False
9,3,20,3.4,4.0,-0.6,0.02421875,0.16144078144078144,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,4,19,4.157894736842105,3.3684210526315788,0.7894736842105263,0.02055921052631579,-0.032282045439940156,HAMD-17,HAMD16_core,Qwen3.7-Max,False
0,0,38,3.289473684210526,4.552631578947368,-1.263157894736842,0.019736842105263157,0.25606820080504294,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,1,38,2.8684210526315788,3.3421052631578947,-0.47368421052631576,0.006578947368421057,0.09184134578871421,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,2,38,3.4473684210526314,4.315789473684211,-0.868421052631579,-0.007675438596491233,0.1678609402293613,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,3,38,4.184210526315789,4.947368421052632,-0.7631578947368421,-0.001096491228070176,0.10332080200501252,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,4,37,2.4864864864864864,3.2432432432432434,-0.7567567567567568,0.01576576576576576,0.16519246519246517,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,0,38,3.3157894736842106,4.157894736842105,-0.8421052631578947,0.006578947368421057,0.19502412791886475,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,1,38,3.3421052631578947,3.6315789473684212,-0.2894736842105263,0.009868421052631577,0.07051340472393104,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,2,38,3.3421052631578947,3.9210526315789473,-0.5789473684210527,-0.006578947368421056,0.07144945697577276,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,3,38,3.026315789473684,4.105263157894737,-1.0789473684210527,0.01864035087719298,0.1882775119617225,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,4,37,3.7837837837837838,4.621621621621622,-0.8378378378378378,0.003378378378378378,0.13420888420888422,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,0,38,3.6842105263157894,4.447368421052632,-0.7631578947368421,0.001096491228070176,0.11175856307435254,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,1,38,3.473684210526316,4.342105263157895,-0.868421052631579,-0.007675438596491227,0.10967000835421889,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,2,38,2.973684210526316,3.4210526315789473,-0.4473684210526316,0.025219298245614034,0.15236196551986025,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,3,38,2.763157894736842,3.473684210526316,-0.7105263157894737,0.009868421052631578,0.19124895572263992,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,4,37,3.8378378378378377,4.756756756756757,-0.918918918918919,0.011261261261261256,0.1844799344799345,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,0,38,3.3947368421052633,3.8684210526315788,-0.47368421052631576,0.00877192982456141,0.11045285124232493,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,1,38,2.8421052631578947,3.6052631578947367,-0.7631578947368421,-0.01206140350877193,0.0595655806182122,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,2,38,3.1052631578947367,3.6842105263157894,-0.5789473684210527,0.02412280701754386,0.18571808308650414,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,3,38,3.5789473684210527,4.7894736842105265,-1.2105263157894737,-0.004385964912280708,0.1674185463659148,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,4,37,3.5675675675675675,4.486486486486487,-0.918918918918919,-1.1252260384714425e-18,0.1757068757068757,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,0,38,3.026315789473684,4.0,-0.9736842105263158,0.005482456140350869,0.18471177944862155,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,1,38,2.9473684210526314,4.0,-1.0526315789473684,-0.008771929824561401,0.1911622003727267,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,2,38,3.4473684210526314,4.5,-1.0526315789473684,1.8260247115545337e-18,0.18179729627098049,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,3,38,3.6052631578947367,3.9210526315789473,-0.3157894736842105,0.03947368421052632,0.11893603472550843,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,4,37,3.135135135135135,4.0,-0.8648648648648649,0.020270270270270268,0.1878670878670879,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,0,38,2.736842105263158,3.789473684210526,-1.0526315789473684,0.0021929824561403508,0.21591478696741853,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,1,38,2.973684210526316,3.6052631578947367,-0.631578947368421,0.00657894736842105,0.1349965823650034,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,2,38,3.8947368421052633,4.2894736842105265,-0.39473684210526316,0.047149122807017545,0.21412987597198124,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,3,38,3.4210526315789473,4.605263157894737,-1.1842105263157894,-0.0010964912280701795,0.1631142249563302,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,4,37,3.4324324324324325,4.135135135135135,-0.7027027027027027,0.01126126126126126,0.1510978510978511,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,0,38,3.473684210526316,3.4210526315789473,0.05263157894736842,0.039473684210526314,0.09928989139515455,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,False
6,1,38,2.9210526315789473,4.078947368421052,-1.1578947368421053,0.030701754385964907,0.256328320802005,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,2,38,4.078947368421052,4.815789473684211,-0.7368421052631579,-0.010964912280701752,0.11558251689830637,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,3,38,3.5789473684210527,4.394736842105263,-0.8157894736842105,0.005482456140350873,0.13092390066074278,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,4,37,2.918918918918919,3.7027027027027026,-0.7837837837837838,-0.010135135135135137,0.10227040227040227,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,0,38,2.9473684210526314,3.4210526315789473,-0.47368421052631576,0.006578947368421051,0.12334244702665753,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,1,38,3.1578947368421053,4.026315789473684,-0.868421052631579,0.00767543859649123,0.15673084225715805,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,2,38,3.6052631578947367,4.421052631578948,-0.8157894736842105,0.014254385964912283,0.23059732664995822,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,3,38,3.1315789473684212,3.973684210526316,-0.8421052631578947,0.006578947368421048,0.1445906432748538,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,4,37,4.027027027027027,4.594594594594595,-0.5675675675675675,0.003378378378378379,0.07870987870987871,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
8,0,38,3.1315789473684212,4.5,-1.368421052631579,0.008771929824561403,0.2044903926482874,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
8,1,38,2.9210526315789473,3.789473684210526,-0.868421052631579,-0.005482456140350878,0.18429216981848562,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
8,2,38,2.9210526315789473,3.1052631578947367,-0.18421052631578946,0.005482456140350878,0.06024720893141946,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
8,3,38,3.263157894736842,4.2368421052631575,-0.9736842105263158,0.009868421052631575,0.2352225260119997,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
8,4,37,3.810810810810811,4.8108108108108105,-1.0,-0.001126126126126128,0.12349167349167349,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
9,0,38,3.1315789473684212,3.763157894736842,-0.631578947368421,0.013157894736842105,0.12281840966051491,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
9,1,38,4.078947368421052,4.447368421052632,-0.3684210526315789,0.002192982456140348,0.05365876813245234,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
9,2,38,3.1842105263157894,4.368421052631579,-1.1842105263157894,0.016447368421052627,0.23471163339584392,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
9,3,38,2.5789473684210527,3.473684210526316,-0.8947368421052632,-0.0021929824561403542,0.19287802840434418,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
9,4,37,3.4054054054054053,4.378378378378378,-0.972972972972973,0.00900900900900901,0.18986193986193986,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,0,38,3.5789473684210527,3.3684210526315788,0.21052631578947367,0.013157894736842108,0.05981430849851902,PHQ-8,PHQ8_complete,GLM-5.2,False
