scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
HAMD-17,HAMD17_available,CrossAI_C03,C03_GLM-5.2,cancellation_ratio_subject,99,-0.0058996234174487,-0.0553771630017173,0.0471417571337356,0.8313168683131686,0.8313168683131686,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_C03,C03_Kimi-K2.6,total_MAE_subject,99,-0.6747474747474749,-1.053611111111111,-0.2837373737373743,0.000999900009999,0.002999700029997,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_C03,C03_Kimi-K2.6,item_NAE_subject,99,-0.005038435828877,-0.0127035520647652,0.0025559594102792,0.1965803419658034,0.5823417658234177,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_C03,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.0879071309953662,0.0385095767481017,0.1387431367816839,0.0014998500149985,0.0044995500449955,target higher
HAMD-17,HAMD17_available,CrossAI_C03,C03_Qwen3.7-Max,total_MAE_subject,99,-0.1494949494949495,-0.4798484848484848,0.174772727272727,0.3623637636236376,0.5435456454354565,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_C03,C03_Qwen3.7-Max,item_NAE_subject,99,0.0016924762329174,-0.0039452660799168,0.0075832312091503,0.5823417658234177,0.5823417658234177,target higher
HAMD-17,HAMD17_available,CrossAI_C03,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0240951490906927,-0.0241683659065566,0.0705119200095804,0.3208679132086791,0.4813018698130187,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_GLM-5.2,total_MAE_subject,99,-0.0535353535353535,-0.4898989898989899,0.3829292929292924,0.8162183781621838,0.8162183781621838,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_GLM-5.2,item_NAE_subject,99,0.0133903371954842,0.0041054385769459,0.0232995859328579,0.0080991900809919,0.0121487851214878,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_GLM-5.2,cancellation_ratio_subject,99,0.0233875229665172,-0.0285783262594584,0.0753067867546535,0.365963403659634,0.365963403659634,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Kimi-K2.6,total_MAE_subject,99,-0.6393939393939394,-1.229292929292929,-0.0585353535353537,0.0458954104589541,0.1376862313768623,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Kimi-K2.6,item_NAE_subject,99,0.0111621732026143,0.0024489843285799,0.0202060587492572,0.0160983901609839,0.0160983901609839,target higher
