scale,analysis_layer,method,item_id,subject_n,item_MAE,item_NAE,coverage,complete_subject_rate,total_MAE,sum_item_AE,cancellation_amount,cancellation_ratio,weighted_kappa,route_family,mechanism_note
PHQ-8,PHQ189_pooled,C03_GLM-5.2,3,189,0.5079365079365079,0.1693121693121693,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,4,189,0.6984126984126984,0.2328042328042327,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,5,189,0.8783068783068783,0.2927689594356261,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,6,189,0.5767195767195767,0.1922398589065255,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,7,189,0.6296296296296297,0.2098765432098765,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,8,189,0.3544973544973545,0.1181657848324514,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,1,189,0.6084656084656085,0.2028218694885361,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,2,189,0.5026455026455027,0.1675485008818342,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,3,189,0.4761904761904761,0.1587301587301587,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,4,189,0.7883597883597884,0.2627865961199294,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,5,189,0.9312169312169312,0.310405643738977,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,6,189,0.6825396825396826,0.2275132275132275,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,7,189,0.671957671957672,0.2239858906525573,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_Qwen3.7-Max,8,189,0.3333333333333333,0.1111111111111111,1.0,1.0,4.211640211640212,4.994708994708994,0.7830687830687824,0.1506056847326688,0.2519087565330002,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,CrossAI_C03,1,189,0.492063492063492,0.164021164021164,1.0,1.0,3.556084656084656,4.641798941798942,1.0857142857142854,0.2146305839956633,0.2605204576883919,CrossAI-C03,item error and total cancellation read together
